"filename", "language", "JavaScript", "JSON", "Properties", "JavaScript JSX", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\green-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\grey-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\medal-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\orange-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\photos-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\pin-sharp-circle-625-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\purple-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\recent.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\red-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\robot-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\search.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\settings.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\suggestion-pin.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 1, 3, 19
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\white-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\yellow-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\components\PinsComponent\AddPin.jsx", "JavaScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 4, 7, 60
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\components\PinsComponent\PinSidebar.jsx", "JavaScript JSX", 0, 0, 0, 219, 0, 0, 0, 0, 0, 21, 240
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\components\PinsComponent\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 130, 0, 0, 0, 0, 0, 11, 141
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
